"FOREST","PLAN","STRA","SPLT","PLOT","DIST","COMP","STAN","DDATE","INVT","SITE","ASPC","SLOP","ELEV","STRC","HIST","HSDT","DACC","ECOT","LFRM","TRID","POIN","NCNT","FACT","SPEC","SRFC","GFRM","SPFE","R5TC","OPTC","COVR","HEIG","NTPA","PCLU","PSTA","PSTR","CSTR","GIS_LINK","PROJECT_NAME","FLD_ID"
"12","1","A2S","A","039","  ","   "," ","102009","FI","C73","250"," 45",10413.00," ","","","","      ","","Z","0001",0.00,10.00,"","BARE","","","6","",0.80,0.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1594.00
"12","1","A2S","A","039","  ","   "," ","102009","FI","C73","250"," 45",10413.00," ","","","","      ","","Z","0001",0.00,10.00,"","LITT","","","6","",32.50,0.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1595.00
"12","1","A2S","A","039","  ","   "," ","102009","FI","C73","250"," 45",10413.00," ","","","","      ","","Z","0001",0.00,10.00,"","ROCK","","","6","",58.00,0.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1596.00
"12","1","A2S","A","039","  ","   "," ","102009","FI","C73","250"," 45",10413.00," ","","","","      ","","Z","0001",0.00,10.00,"","WOOD","","","6","",1.50,0.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1597.00
"12","1","A2S","A","039","  ","   "," ","102009","FI","C73","250"," 45",10413.00," ","","","","      ","","Z","0001",0.00,10.00,"","BAVE","","","6","",7.30,0.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1598.00
"12","1","A2S","A","039","  ","          ","    ","102009","  FI","C73","250"," 45",10413.00," ","","","","","TR","C","0001",6.00,24.07,"PICO","","EN","","2","",66.00,41.00,144.43,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1599.00
"12","1","A2S","A","039","  ","          ","    ","102009","  FI","C73","250"," 45",10413.00," ","","","","","TR","C","0001",1.00,24.07,"PICO","","EN","","3","",2.70,28.00,24.07,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1600.00
"12","1","A2S","A","039","  ","   "," ","102009","FI","C73","250"," 45",10413.00," ","","","","      ","","Z","0002",0.00,10.00,"","BARE","","","6","",5.30,0.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1601.00
"12","1","A2S","A","039","  ","   "," ","102009","FI","C73","250"," 45",10413.00," ","","","","      ","","Z","0002",0.00,10.00,"","ROCK","","","6","",65.80,0.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1602.00
"12","1","A2S","A","039","  ","   "," ","102009","FI","C73","250"," 45",10413.00," ","","","","      ","","Z","0002",0.00,10.00,"","BAVE","","","6","",2.80,0.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1603.00
"12","1","A2S","A","039","  ","   "," ","102009","FI","C73","250"," 45",10413.00," ","","","","      ","","Z","0002",0.00,10.00,"","LITT","","","6","",26.30,0.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1604.00
"12","1","A2S","A","039","  ","          ","    ","102009","  FI","C73","250"," 45",10413.00," ","","","","          ","SH","B","0002",0.00,24.07,"CHSE11","",""," ","4","",2.00,1.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1605.00
"12","1","A2S","A","039","  ","          ","    ","102009","  FI","C73","250"," 45",10413.00," ","","","","","TR","C","0002",1.00,3.99,"PICO","","EN","","1","",8.30,52.00,3.99,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1606.00
"12","1","A2S","A","039","  ","          ","    ","102009","  FI","C73","250"," 45",10413.00," ","","","","","TR","C","0002",3.00,3.99,"PICO","","EN","","2","",39.10,37.00,52.14,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1607.00
"12","1","A2S","A","039","  ","          ","    ","102009","  FI","C73","250"," 45",10413.00," ","","","","          ","SH","B","0003",0.00,24.07,"PHBR4","",""," ","4","",4.00,1.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1608.00
"12","1","A2S","A","039","  ","          ","    ","102009","  FI","C73","250"," 45",10413.00," ","","","","          ","TR","C","0003",0.00,24.07,"PICO","","EN"," ","4","",1.00,5.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1609.00
"12","1","A2S","A","039","  ","   "," ","102009","FI","C73","250"," 45",10413.00," ","","","","      ","","Z","0003",0.00,10.00,"","BARE","","","6","",3.00,0.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1610.00
"12","1","A2S","A","039","  ","   "," ","102009","FI","C73","250"," 45",10413.00," ","","","","      ","","Z","0003",0.00,10.00,"","ROCK","","","6","",68.30,0.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1611.00
"12","1","A2S","A","039","  ","   "," ","102009","FI","C73","250"," 45",10413.00," ","","","","      ","","Z","0003",0.00,10.00,"","WOOD","","","6","",3.30,0.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1612.00
"12","1","A2S","A","039","  ","   "," ","102009","FI","C73","250"," 45",10413.00," ","","","","      ","","Z","0003",0.00,10.00,"","LITT","","","6","",25.50,0.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1613.00
"12","1","A2S","A","039","  ","          ","    ","102009","  FI","C73","250"," 45",10413.00," ","","","","","TR","C","0003",6.00,3.99,"PICO","","EN","","2","",40.30,41.00,44.05,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1614.00
"12","1","A2S","A","039","  ","   "," ","102009","FI","C73","250"," 45",10413.00," ","","","","      ","","Z","0004",0.00,10.00,"","BARE","","","6","",7.80,0.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1615.00
"12","1","A2S","A","039","  ","   "," ","102009","FI","C73","250"," 45",10413.00," ","","","","      ","","Z","0004",0.00,10.00,"","WOOD","","","6","",5.00,0.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1616.00
"12","1","A2S","A","039","  ","   "," ","102009","FI","C73","250"," 45",10413.00," ","","","","      ","","Z","0004",0.00,10.00,"","LITT","","","6","",42.00,0.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1617.00
"12","1","A2S","A","039","  ","   "," ","102009","FI","C73","250"," 45",10413.00," ","","","","      ","","Z","0004",0.00,10.00,"","ROCK","","","6","",45.30,0.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1618.00
"12","1","A2S","A","039","  ","          ","    ","102009","  FI","C73","250"," 45",10413.00," ","","","","          ","TR","C","0004",0.00,24.07,"PICO","","EN"," ","4","",1.00,2.00,0.00,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1619.00
"12","1","A2S","A","039","  ","          ","    ","102009","  FI","C73","250"," 45",10413.00," ","","","","","TR","C","0004",1.00,3.99,"PICO","","EN","","1","",4.10,55.00,3.99,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1620.00
"12","1","A2S","A","039","  ","          ","    ","102009","  FI","C73","250"," 45",10413.00," ","","","","","TR","C","0004",1.00,3.99,"PICO","","EN","","3","",6.80,26.00,24.07,4.00,0.00,4.00,1.00,"BDFPLUS10_112039","BDFPLUS10_1",1621.00
"12","1","A3N","A","107","  ","          ","    ","082010","  FI","C73"," 38"," 35",9126.00," ","","","","","TR","C","0001",2.00,3.99,"PICO","","EN","","1","",11.20,66.00,7.99,4.00,0.00,8.00,2.00,"BDFPLUS10_112107","BDFPLUS10_1",5896.00
"12","1","A3N","A","107","  ","          ","    ","082010","  FI","C73"," 38"," 35",9126.00," ","","","","          ","SH","B","0001",0.00,24.07,"CHSE11","",""," ","4","",6.00,2.00,0.00,4.00,0.00,8.00,2.00,"BDFPLUS10_112107","BDFPLUS10_1",5897.00
"12","1","A3N","A","107","  ","   "," ","082010","FI","C73"," 38"," 35",9126.00," ","","","","      ","","Z","0001",0.00,10.00,"","LITT","","","6","",82.50,0.00,0.00,4.00,0.00,8.00,2.00,"BDFPLUS10_112107","BDFPLUS10_1",5898.00
"12","1","A3N","A","107","  ","   "," ","082010","FI","C73"," 38"," 35",9126.00," ","","","","      ","","Z","0001",0.00,10.00,"","ROCK","","","6","",13.30,0.00,0.00,4.00,0.00,8.00,2.00,"BDFPLUS10_112107","BDFPLUS10_1",5899.00
