"FOREST","PLAN","STRA","SPLT","PLOT","DIST","COMP","STAN","DDATE","INVT","SITE","ASPC","SLOP","ELEV","STRC","HIST","HSDT","DACC","ECOT","LFRM","TRID","POIN","NCNT","FACT","SPEC","SRFC","GFRM","SPFE","R5TC","OPTC","COVR","HEIG","NTPA","PCLU","PSTA","PSTR","CSTR","GIS_LINK","PROJECT_NAME","FLD_ID"
"02","1","C3P","A","075","  ","          ","    ","052010","FI","C145","  5"," 20",3829.00," ","","","","","TR","H","0001",1.00,3.99,"QUAG","","EB","","3","",55.60,46.00,24.07,4.00,0.00,4.00,1.00,"CNFPLUS10_102075","CNFPLUS10_1",2494
"02","1","C3P","A","075","  ","          ","    ","052010","FI","C145","  5"," 20",3829.00," ","","","","","TR","H","0001",1.00,3.99,"QUCH2","","EB","","2","",16.30,85.00,3.99,4.00,0.00,4.00,1.00,"CNFPLUS10_102075","CNFPLUS10_1",2495
"02","1","C3P","A","075","  ","          ","    ","052010","FI","C145","  5"," 20",3829.00," ","","","","","TR","H","0001",1.00,3.99,"QUKE","","DB","","2","",24.90,68.00,3.99,4.00,0.00,4.00,1.00,"CNFPLUS10_102075","CNFPLUS10_1",2496
"02","1","C3P","A","075","  ","          ","    ","052010","FI","C145","  5"," 20",3829.00," ","","","","","TR","H","0001",7.00,3.99,"QUCH2","","EB","","3","",165.70,32.00,444.29,4.00,0.00,4.00,1.00,"CNFPLUS10_102075","CNFPLUS10_1",2497
"02","1","C3P","A","075","  ","          ","    ","052010","FI","C145","  5"," 20",3829.00," ","","","","        hx","FB","E","0001",0.00,24.07,"GALIU","","","","5","",1.00,1.00,0.00,4.00,0.00,4.00,1.00,"CNFPLUS10_102075","CNFPLUS10_1",2498
"02","1","C3P","A","075","  ","          ","    ","052010","FI","C145","  5"," 20",3829.00," ","","","","        hx","SH","B","0001",0.00,24.07,"TODI","","","","4","",1.00,2.00,0.00,4.00,0.00,4.00,1.00,"CNFPLUS10_102075","CNFPLUS10_1",2499
"02","1","C3P","A","075","  ","          ","    ","052010","FI","C145","  5"," 20",3829.00," ","","","","        hx","TR","C","0001",0.00,24.07,"PSMA","","EN","","4","",1.00,1.00,0.00,4.00,0.00,4.00,1.00,"CNFPLUS10_102075","CNFPLUS10_1",2500
"02","1","C3P","A","075","  ","          ","    ","052010","FI","C145","  5"," 20",3829.00," ","","","","        hx","TR","H","0001",0.00,24.07,"QUAG","","EB","","4","",2.00,4.00,0.00,4.00,0.00,4.00,1.00,"CNFPLUS10_102075","CNFPLUS10_1",2501
"02","1","C3P","A","075","  ","          ","    ","052010","FI","C145","  5"," 20",3829.00," ","","","","        hx","TR","H","0001",0.00,24.07,"QUCH2","","EB","","4","",3.00,4.00,0.00,4.00,0.00,4.00,1.00,"CNFPLUS10_102075","CNFPLUS10_1",2502
"02","1","C3P","A","075","  ","   "," ","052010","FI","C145","  5"," 20",3829.00," ","","","","    hx","","Z","0001",0.00,10.00,"","BAVE","","","6","",0.30,0.00,0.00,4.00,0.00,4.00,1.00,"CNFPLUS10_102075","CNFPLUS10_1",2503
"02","1","C3P","A","075","  ","   "," ","052010","FI","C145","  5"," 20",3829.00," ","","","","    hx","","Z","0001",0.00,10.00,"","LITT","","","6","",85.30,0.00,0.00,4.00,0.00,4.00,1.00,"CNFPLUS10_102075","CNFPLUS10_1",2504
"02","1","C3P","A","075","  ","   "," ","052010","FI","C145","  5"," 20",3829.00," ","","","","    hx","","Z","0001",0.00,10.00,"","WOOD","","","6","",14.50,0.00,0.00,4.00,0.00,4.00,1.00,"CNFPLUS10_102075","CNFPLUS10_1",2505
"02","1","C3P","A","075","  ","          ","    ","052010","FI","C145","  5"," 20",3829.00," ","","","","","TR","H","0002",1.00,3.99,"QUKE","","DB","","2","",12.50,60.00,3.99,4.00,0.00,4.00,1.00,"CNFPLUS10_102075","CNFPLUS10_1",2506
